entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Bulgaria,BGR,2016,10.52983789,11.6391203,7151948,,128,129,Bulgaria,Central and Eastern Europe,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,2016
Bulgaria,BGR,2017,10.52774636,11.63768285,7102452,,104,105,Bulgaria,Central and Eastern Europe,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.011051531,0.113177694,2017
Bulgaria,BGR,2018,10.51988713,11.64609187,7051610,,99,100,Bulgaria,Central and Eastern Europe,4.933,1.054,1.515,0.712,0.359,0.009,0.064,2018
Bulgaria,BGR,2019,10.50879583,11.66191703,7000117,,96,97,Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.004,0.081,2019
Bulgaria,BGR,2020,,,6948445,,95,96,Bulgaria,Central and Eastern Europe,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0,0.103833713,2020
Bulgaria,BGR,2021,,,6896655,,87,88,Bulgaria,Central and Eastern Europe,5.266,1.181,1.055,0.583,0.494,0.005,0.125,2021
Burkina Faso,BFA,2015,11.73468107,11.95044093,18110616,Africa,151,152,Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,2015
Burkina Faso,BFA,2016,11.72231625,11.95729258,18646350,,144,145,Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,2016
Burkina Faso,BFA,2017,11.70284807,11.95699218,19193236,,133,134,Burkina Faso,Sub-Saharan Africa,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.120328106,0.250864685,2017
Burkina Faso,BFA,2018,11.65023951,11.87685277,19751466,,120,121,Burkina Faso,Sub-Saharan Africa,4.424,0.314,1.097,0.254,0.312,0.128,0.175,2018
Burkina Faso,BFA,2019,11.54995972,11.71477223,20321383,,114,115,Burkina Faso,Sub-Saharan Africa,4.587,0.331,1.056,0.38,0.255,0.113,0.177,2019
Burkina Faso,BFA,2020,,,20903278,,111,112,Burkina Faso,Sub-Saharan Africa,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.126408055,0.186390609,2020
Burkina Faso,BFA,2021,,,21497097,,112,113,Burkina Faso,Sub-Saharan Africa,4.834,0.364,0.472,0.179,0.381,0.122,0.182,2021
Burundi,BDI,2015,12.60984301,13.52137255,10160034,Africa,156,157,Burundi,Sub-Saharan Africa,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,2015
Burundi,BDI,2016,12.62134077,13.54361777,10488002,,156,157,Burundi,Sub-Saharan Africa,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2016
Burundi,BDI,2017,12.62561976,13.55806904,10827010,,153,154,Burundi,Sub-Saharan Africa,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.084147945,0.204435185,2017
Burundi,BDI,2018,12.63650569,13.56093328,11175379,,155,156,Burundi,Sub-Saharan Africa,2.905,0.091,0.627,0.145,0.065,0.076,0.149,2018
Burundi,BDI,2019,12.66620151,13.55643616,11530577,,144,145,Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.18,0.176,2019
Burundi,BDI,2020,,,11890781,,139,140,Burundi,Sub-Saharan Africa,3.775300026,0,0.403575271,0.295212835,0.275399059,0.212186828,0.187401786,2020
Burundi,BDI,2021,,,12255429,,139,140,Burundi,Sub-Saharan Africa,3.775,0,0.062,0.155,0.298,0.212,0.172,2021
Cambodia,KHM,2015,11.58634971,13.21311645,15521435,Asia,144,145,Cambodia,Southeastern Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,2015
Cambodia,KHM,2016,11.5481682,13.18173548,15766290,,139,140,Cambodia,Southeastern Asia,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,2016
Cambodia,KHM,2017,11.51852074,13.14738439,16009413,,128,129,Cambodia,Southeastern Asia,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.068105951,0.385922968,2017
Cambodia,KHM,2018,11.49359697,13.11411288,16249795,,119,120,Cambodia,Southeastern Asia,4.433,0.549,1.088,0.457,0.696,0.065,0.256,2018
Cambodia,KHM,2019,11.47712532,13.08384138,16486542,,108,109,Cambodia,Southeastern Asia,4.7,0.574,1.122,0.637,0.609,0.062,0.232,2019
